image_id,file_type,file_size,resolution_width,resolution_height,collection_date,collection_state
IMG_00081,jpg,1.6695,4624,2080,22-01-2026,Delhi
IMG_00082,jpg,1.4924,4624,2080,22-01-2026,Delhi
IMG_00083,jpg,1.6331,4624,2080,22-01-2026,Delhi
IMG_00084,jpg,1.0831,4624,2080,22-01-2026,Delhi
IMG_00085,jpg,1.2813,4624,2080,22-01-2026,Delhi
IMG_00086,jpg,2.0856,4000,2256,22-01-2026,Delhi
IMG_00087,jpg,2.1564,4000,2256,23-01-2026,Delhi
IMG_00088,jpg,2.117,4000,2256,23-01-2026,Delhi
IMG_00089,jpg,1.9337,4000,2256,23-01-2026,Delhi
IMG_00090,jpg,1.8211,4000,2256,23-01-2026,Delhi
IMG_00091,jpg,2.2703,4000,2256,23-01-2026,Delhi
IMG_00092,jpg,1.4842,4000,2256,23-01-2026,Delhi
IMG_00093,jpg,2.0602,4000,2256,23-01-2026,Delhi
IMG_00094,jpg,2.6364,4000,2256,23-01-2026,Delhi
IMG_00095,jpg,2.2096,4000,2256,23-01-2026,Delhi
IMG_00096,jpg,2.0927,4000,2256,23-01-2026,Delhi
IMG_00097,jpg,2.0801,4000,2256,23-01-2026,Delhi
IMG_00098,jpg,2.2477,4000,2256,23-01-2026,Delhi
IMG_00099,jpg,2.7318,4000,2256,24-01-2026,Delhi
IMG_00100,jpg,1.6782,4000,2256,24-01-2026,Delhi
IMG_00101,jpg,2.1795,4000,2256,24-01-2026,Delhi
IMG_00102,jpg,2.4482,4000,2256,24-01-2026,Delhi
IMG_00103,jpg,1.3831,4000,2256,24-01-2026,Delhi
IMG_00104,jpg,2.2066,4000,2256,24-01-2026,Delhi
IMG_00105,jpg,1.1134,4000,2256,24-01-2026,Delhi
IMG_00106,jpg,1.8759,4000,2256,24-01-2026,Delhi
IMG_00107,jpg,0.8132,4000,2256,24-01-2026,Delhi
IMG_00108,jpg,2.3732,4000,2256,24-01-2026,Delhi
IMG_00109,jpg,1.8942,4000,2256,24-01-2026,Delhi
IMG_00110,jpg,2.2477,4000,2256,24-01-2026,Delhi
IMG_00111,jpg,1.835,4000,2256,24-01-2026,Delhi
IMG_00112,jpg,2.2845,4000,2256,25-01-2026,Delhi
IMG_00113,jpg,2.7219,4000,2256,25-01-2026,Delhi
IMG_00114,jpg,1.8467,4000,2256,25-01-2026,Delhi
IMG_00115,jpg,2.5812,4000,2256,25-01-2026,Delhi
IMG_00116,jpg,1.4763,4000,2256,25-01-2026,Delhi
IMG_00117,jpg,2.161,4000,2256,25-01-2026,Delhi
IMG_00118,jpg,2.0838,4000,2256,25-01-2026,Delhi
IMG_00119,jpg,2.4057,4000,2256,25-01-2026,Delhi
IMG_00120,jpg,2.7131,4000,2256,25-01-2026,Delhi
IMG_00121,jpg,2.3296,4000,2256,25-01-2026,Delhi
IMG_00122,jpg,1.8915,4000,2256,25-01-2026,Delhi
IMG_00123,jpg,1.8723,4000,2256,25-01-2026,Delhi
IMG_00124,jpg,2.094,4000,2256,25-01-2026,Delhi
IMG_00125,jpg,1.4579,4000,2256,25-01-2026,Delhi
IMG_00126,jpg,1.6551,4000,2256,25-01-2026,Delhi
IMG_00127,jpg,1.3201,4000,2256,26-01-2026,Delhi
IMG_00128,jpg,1.284,4000,2256,26-01-2026,Delhi
IMG_00129,jpg,1.5533,4000,2256,26-01-2026,Delhi
IMG_00130,jpg,1.8142,4000,2256,26-01-2026,Delhi
IMG_00131,jpg,2.2851,4000,2256,26-01-2026,Delhi
IMG_00132,jpg,1.785,4000,2256,26-01-2026,Delhi
IMG_00133,jpg,1.5646,4000,2256,26-01-2026,Delhi
IMG_00134,jpg,1.6319,4000,2256,26-01-2026,Delhi
IMG_00135,jpg,1.5228,4000,2256,26-01-2026,Delhi
IMG_00136,jpg,1.9641,4000,2256,26-01-2026,Delhi
IMG_00137,jpg,2.0412,4000,2256,27-01-2026,Delhi
IMG_00138,jpg,1.1309,4000,2256,27-01-2026,Delhi
IMG_00139,jpg,1.1623,4000,2256,27-01-2026,Delhi
IMG_00140,jpg,1.3118,4000,2256,27-01-2026,Delhi
IMG_00141,jpg,1.8586,4000,2256,27-01-2026,Delhi
IMG_00142,jpg,1.4469,4000,2256,27-01-2026,Delhi
IMG_00143,jpg,1.48,4000,2256,27-01-2026,Delhi
IMG_00144,jpg,1.6746,4000,2256,27-01-2026,Delhi
IMG_00145,jpg,1.6003,4000,2256,27-01-2026,Delhi
IMG_00146,jpg,1.9528,4000,2256,27-01-2026,Delhi
IMG_00147,jpg,1.7891,4000,2256,27-01-2026,Delhi
IMG_00148,jpg,1.3871,4000,2256,27-01-2026,Delhi
IMG_00149,jpg,1.3688,4000,2256,27-01-2026,Delhi
IMG_00150,jpg,0.8552,4000,2256,27-01-2026,Delhi
IMG_00151,jpg,2.5265,4000,2256,28-01-2026,Delhi
IMG_00152,jpg,2.1717,4000,2256,28-01-2026,Delhi
IMG_00153,jpg,1.6401,4000,2256,28-01-2026,Delhi
IMG_00154,jpg,2.0677,4000,2256,28-01-2026,Delhi
IMG_00155,jpg,1.7712,4000,2256,28-01-2026,Delhi
IMG_00156,jpg,1.6305,4000,2256,28-01-2026,Delhi
IMG_00157,jpg,1.5914,4000,2256,28-01-2026,Delhi
IMG_00158,jpg,1.2614,4000,2256,28-01-2026,Delhi
IMG_00159,jpg,1.8076,4000,2256,28-01-2026,Delhi
IMG_00160,jpg,2.2423,4000,2256,28-01-2026,Delhi
IMG_00161,jpg,1.7828,4000,2256,28-01-2026,Delhi
IMG_00162,jpg,1.9374,4000,2256,29-01-2026,Delhi
IMG_00163,jpg,2.2257,4000,2256,29-01-2026,Delhi
IMG_00164,jpg,1.8479,4000,2256,29-01-2026,Delhi
IMG_00165,jpg,1.4252,4000,2256,29-01-2026,Delhi
IMG_00166,jpg,1.2424,4000,2256,29-01-2026,Delhi
IMG_00167,jpg,1.2484,4000,2256,29-01-2026,Delhi
IMG_00168,jpg,1.1609,4000,2256,29-01-2026,Delhi
IMG_00169,jpg,1.4036,4000,2256,29-01-2026,Delhi
IMG_00170,jpg,1.8601,4000,2256,29-01-2026,Delhi
IMG_00171,jpg,1.0824,4000,2256,29-01-2026,Delhi
IMG_00172,jpg,1.2232,4000,2256,29-01-2026,Delhi
IMG_00173,jpg,1.2708,4000,2256,30-01-2026,Delhi
IMG_00174,jpg,1.3419,4000,2256,30-01-2026,Delhi
IMG_00175,jpg,1.5757,4000,2256,30-01-2026,Delhi
IMG_00176,jpg,2.0398,4000,2256,30-01-2026,Delhi
IMG_00177,jpg,1.2444,4000,2256,30-01-2026,Delhi
IMG_00178,jpg,1.2161,4000,2256,30-01-2026,Delhi
IMG_00179,jpg,1.0012,4000,2256,30-01-2026,Delhi
IMG_00180,jpg,1.0967,4000,2256,30-01-2026,Delhi
IMG_00181,jpg,1.2219,4000,2256,30-01-2026,Delhi
IMG_00182,jpg,1.267,4000,2256,30-01-2026,Delhi
IMG_00183,jpg,1.4904,4000,2256,30-01-2026,Delhi
IMG_00184,jpg,2.175,4000,2256,30-01-2026,Delhi
IMG_00185,jpg,1.9442,4000,2256,30-01-2026,Delhi
IMG_00186,jpg,2.0381,4000,2256,31-01-2026,Delhi
IMG_00187,jpg,2.3061,4000,2256,31-01-2026,Delhi
IMG_00188,jpg,1.9078,4000,2256,31-01-2026,Delhi
IMG_00189,jpg,2.2857,4000,2256,31-01-2026,Delhi
IMG_00190,jpg,2.535,4000,2256,31-01-2026,Delhi
IMG_00191,jpg,1.9234,4000,2256,31-01-2026,Delhi
IMG_00192,jpg,2.1667,4000,2256,31-01-2026,Delhi
IMG_00193,jpg,2.0116,4000,2256,31-01-2026,Delhi
IMG_00194,jpg,2.6164,4000,2256,31-01-2026,Delhi
IMG_00195,jpg,2.2877,4000,2256,31-01-2026,Delhi
IMG_00196,jpg,1.5888,4000,2256,31-01-2026,Delhi
IMG_00197,jpg,1.7533,4000,2256,31-01-2026,Delhi
IMG_00198,jpg,1.565,4000,2256,31-01-2026,Delhi
IMG_00199,jpg,1.2755,4000,2256,31-01-2026,Delhi
IMG_00200,jpg,1.8509,4000,2256,31-01-2026,Delhi
IMG_00201,jpg,1.9379,4000,2256,31-01-2026,Delhi
IMG_00202,jpg,2.3171,4000,2256,31-01-2026,Delhi
IMG_00203,jpg,2.0821,4000,2256,31-01-2026,Delhi
IMG_00204,jpg,1.3246,4000,2256,31-01-2026,Delhi
IMG_00205,jpg,1.5762,4000,2256,01-02-2026,Delhi
IMG_00206,jpg,2.105,4000,2256,01-02-2026,Delhi
IMG_00207,jpg,1.9429,4000,2256,01-02-2026,Delhi
IMG_00208,jpg,2.5363,4000,2256,01-02-2026,Delhi
IMG_00209,jpg,2.2925,4000,2256,01-02-2026,Delhi
IMG_00210,jpg,2.0962,4000,2256,01-02-2026,Delhi
IMG_00211,jpg,1.634,4000,2256,01-02-2026,Delhi
IMG_00212,jpg,1.9321,4000,2256,01-02-2026,Delhi
IMG_00213,jpg,1.9255,4000,2256,01-02-2026,Delhi
IMG_00214,jpg,2.3582,4000,2256,01-02-2026,Delhi
IMG_00215,jpg,2.2439,4000,2256,01-02-2026,Delhi
IMG_00216,jpg,2.2888,4000,2256,01-02-2026,Delhi
IMG_00217,jpg,2.3245,4000,2256,01-02-2026,Delhi
IMG_00218,jpg,2.0458,4000,2256,01-02-2026,Delhi
IMG_00219,jpg,2.2204,4000,2256,01-02-2026,Delhi
IMG_00220,jpg,2.2105,4000,2256,01-02-2026,Delhi
IMG_00221,jpg,2.4399,4000,2256,02-02-2026,Delhi
IMG_00222,jpg,2.0548,4000,2256,02-02-2026,Delhi
IMG_00223,jpg,2.0463,4000,2256,02-02-2026,Delhi
IMG_00224,jpg,2.3668,4000,2256,02-02-2026,Delhi
